"id","instanceID","type","lastSeen","onOff","color","dimmer","protocolTime"
270,65537,2,1605867202,1,"efd275",51,"2020-11-20 22:58:04"
271,65538,2,1605868423,1,"efd275",48,"2020-11-20 22:58:04"
272,65540,2,1605882795,0,"efd275",100,"2020-11-20 22:58:04"
273,65545,2,1605831076,0,"efd275",50,"2020-11-20 22:58:04"
274,65546,2,1605892658,0,"f1e0b5",50,"2020-11-20 22:58:04"
275,65547,2,1605892666,0,"f1e0b5",50,"2020-11-20 22:58:04"
276,65548,2,1605897874,1,"f5faf6",50,"2020-11-20 22:58:04"
277,65549,2,1605867176,1,"f1e0b5",50,"2020-11-20 22:58:04"
278,65551,2,1605867199,0,"f1e0b5",100,"2020-11-20 22:58:04"
279,65552,2,1605896361,1,"efd275",50,"2020-11-20 22:58:04"
280,65553,2,1605867180,1,"efd275",50,"2020-11-20 22:58:04"
281,65554,2,1603707195,1,"0",50,"2020-11-20 22:58:04"
282,65540,2,1605882795,1,"efd275",100,"2020-11-20 22:58:23"
283,65540,2,1605882795,0,"efd275",100,"2020-11-20 22:59:21"
284,65540,2,1605882795,1,"efd275",100,"2020-11-20 22:59:25"
285,65537,2,1605867202,1,"efd275",51,"2020-11-20 23:33:22"
286,65538,2,1605868423,1,"efd275",48,"2020-11-20 23:33:22"
287,65540,2,1605882795,1,"efd275",100,"2020-11-20 23:33:22"
288,65545,2,1605831076,0,"efd275",50,"2020-11-20 23:33:22"
289,65546,2,1605892658,0,"f1e0b5",50,"2020-11-20 23:33:22"
290,65547,2,1605892666,0,"f1e0b5",50,"2020-11-20 23:33:22"
291,65548,2,1605897874,1,"f5faf6",50,"2020-11-20 23:33:23"
292,65549,2,1605867176,1,"f1e0b5",50,"2020-11-20 23:33:23"
293,65551,2,1605867199,0,"f1e0b5",100,"2020-11-20 23:33:23"
294,65552,2,1605896361,1,"efd275",50,"2020-11-20 23:33:23"
295,65553,2,1605867180,1,"efd275",50,"2020-11-20 23:33:23"
296,65554,2,1603707195,1,"0",50,"2020-11-20 23:33:23"
297,65540,2,1605882795,0,"efd275",100,"2020-11-20 23:33:51"
298,65540,2,1605882795,1,"efd275",100,"2020-11-20 23:33:55"
299,65552,2,1605896361,0,"efd275",50,"2020-11-20 23:34:36"
300,65554,2,1603707195,0,"0",50,"2020-11-20 23:34:36"
301,65540,2,1605882795,0,"efd275",100,"2020-11-20 23:34:36"
302,65548,2,1605897874,0,"f5faf6",50,"2020-11-20 23:34:36"
303,65553,2,1605867180,0,"efd275",50,"2020-11-20 23:34:36"
304,65537,2,1605867202,0,"f1e0b5",51,"2020-11-20 23:56:02"
305,65538,2,1605868423,0,"f1e0b5",48,"2020-11-20 23:56:02"
306,65552,2,1605896361,0,"f1e0b5",50,"2020-11-20 23:56:02"
307,65553,2,1605867180,0,"f1e0b5",50,"2020-11-20 23:56:02"
308,65554,2,1603707195,0,"f1e0b5",50,"2020-11-20 23:56:02"
309,65540,2,1605882795,0,"f1e0b5",100,"2020-11-20 23:56:02"
310,65537,2,1605867202,1,"f1e0b5",51,"2020-11-20 23:56:06"
311,65538,2,1605868423,1,"f1e0b5",48,"2020-11-20 23:56:06"
312,65549,2,1605867176,1,"f1e0b5",50,"2020-11-20 23:56:06"
313,65538,2,1605868423,0,"f1e0b5",48,"2020-11-20 23:56:26"
314,65538,2,1605868423,0,"f1e0b5",48,"2020-11-20 23:56:29"
315,65547,2,1605917242,0,"f1e0b5",50,"2020-11-21 01:07:22"
316,65547,2,1605917242,0,"f1e0b5",50,"2020-11-21 01:07:32"
317,65546,2,1605917253,0,"f1e0b5",50,"2020-11-21 01:07:33"
318,65546,2,1605917253,0,"f1e0b5",50,"2020-11-21 01:07:43"
319,65545,2,1605917476,0,"efd275",50,"2020-11-21 01:11:17"
320,65547,2,1605917242,0,"f1e0b5",50,"2020-11-21 01:11:27"
321,65546,2,1605917253,0,"f1e0b5",50,"2020-11-21 01:11:27"
322,65546,2,1605917491,0,"f1e0b5",50,"2020-11-21 01:11:32"
323,65546,2,1605917491,0,"f1e0b5",50,"2020-11-21 01:11:36"
324,65546,2,1605917491,0,"f1e0b5",50,"2020-11-21 01:11:36"
325,65547,2,1605917242,0,"f1e0b5",50,"2020-11-21 01:11:36"
326,65545,2,1605917476,0,"efd275",50,"2020-11-21 01:11:36"
327,65546,2,1605917497,0,"f1e0b5",50,"2020-11-21 01:11:38"
328,65547,2,1605917242,1,"f1e0b5",50,"2020-11-21 01:11:41"
329,65546,2,1605917497,1,"f1e0b5",50,"2020-11-21 01:11:41"
330,65545,2,1605917476,1,"efd275",50,"2020-11-21 01:11:41"
331,65547,2,1605917501,1,"f1e0b5",50,"2020-11-21 01:11:42"
332,65547,2,1605917501,1,"f1e0b5",50,"2020-11-21 01:11:43"
333,65546,2,1605917497,0,"f1e0b5",50,"2020-11-21 01:11:45"
334,65545,2,1605917476,0,"efd275",50,"2020-11-21 01:11:45"
335,65547,2,1605917501,0,"f1e0b5",50,"2020-11-21 01:11:45"
336,65547,2,1605917505,0,"f1e0b5",50,"2020-11-21 01:11:45"
337,65551,2,1605867199,1,"f1e0b5",100,"2020-11-21 02:31:18"
338,65538,2,1605868423,0,"f1e0b5",48,"2020-11-21 02:31:41"
339,65537,2,1605867202,0,"f1e0b5",51,"2020-11-21 02:31:41"
340,65549,2,1605867176,0,"f1e0b5",50,"2020-11-21 02:31:41"
341,65551,2,1605867199,0,"f1e0b5",100,"2020-11-21 02:32:03"
342,65549,2,1605953576,0,"f1e0b5",50,"2020-11-21 11:12:56"
343,65553,2,1605953580,0,"f1e0b5",50,"2020-11-21 11:13:00"
344,65551,2,1605953599,0,"f1e0b5",100,"2020-11-21 11:13:19"
345,65537,2,1605953602,0,"f1e0b5",51,"2020-11-21 11:13:22"
346,65538,2,1605954823,0,"f1e0b5",48,"2020-11-21 11:33:43"
347,65547,2,1605917505,1,"f1e0b5",50,"2020-11-21 14:47:39"
348,65545,2,1605917476,1,"efd275",50,"2020-11-21 14:47:39"
349,65546,2,1605917497,1,"f1e0b5",50,"2020-11-21 14:47:39"
350,65546,2,1605968486,1,"f1e0b5",50,"2020-11-21 15:21:27"
351,65546,2,1605968486,1,"f1e0b5",50,"2020-11-21 15:21:37"
352,65547,2,1605968497,1,"f1e0b5",50,"2020-11-21 15:21:38"
353,65547,2,1605968497,1,"f1e0b5",50,"2020-11-21 15:21:48"
354,65546,2,1605968515,1,"f1e0b5",50,"2020-11-21 15:21:56"
355,65546,2,1605968515,1,"f1e0b5",50,"2020-11-21 15:21:59"
356,65546,2,1605968515,1,"f1e0b5",50,"2020-11-21 15:22:00"
357,65546,2,1605968515,1,"f1e0b5",50,"2020-11-21 15:22:01"
358,65546,2,1605968515,1,"f1e0b5",50,"2020-11-21 15:22:01"
359,65546,2,1605968520,1,"f1e0b5",50,"2020-11-21 15:22:01"
360,65547,2,1605968524,1,"f1e0b5",50,"2020-11-21 15:22:05"
361,65547,2,1605968524,1,"f1e0b5",50,"2020-11-21 15:22:07"
