"id","instanceID","type","lastSeen","onOff","color","dimmer","protocolTime"
270,65537,2,1605867202,1,"efd275",51,"2020-11-20T21:58:04.000Z"
271,65538,2,1605868423,1,"efd275",48,"2020-11-20T21:58:04.000Z"
272,65540,2,1605882795,0,"efd275",100,"2020-11-20T21:58:04.000Z"
273,65545,2,1605831076,0,"efd275",50,"2020-11-20T21:58:04.000Z"
274,65546,2,1605892658,0,"f1e0b5",50,"2020-11-20T21:58:04.000Z"
275,65547,2,1605892666,0,"f1e0b5",50,"2020-11-20T21:58:04.000Z"
276,65548,2,1605897874,1,"f5faf6",50,"2020-11-20T21:58:04.000Z"
277,65549,2,1605867176,1,"f1e0b5",50,"2020-11-20T21:58:04.000Z"
278,65551,2,1605867199,0,"f1e0b5",100,"2020-11-20T21:58:04.000Z"
279,65552,2,1605896361,1,"efd275",50,"2020-11-20T21:58:04.000Z"
280,65553,2,1605867180,1,"efd275",50,"2020-11-20T21:58:04.000Z"
281,65554,2,1603707195,1,"0",50,"2020-11-20T21:58:04.000Z"
282,65540,2,1605882795,1,"efd275",100,"2020-11-20T21:58:23.000Z"
283,65540,2,1605882795,0,"efd275",100,"2020-11-20T21:59:21.000Z"
284,65540,2,1605882795,1,"efd275",100,"2020-11-20T21:59:25.000Z"
285,65537,2,1605867202,1,"efd275",51,"2020-11-20T22:33:22.000Z"
286,65538,2,1605868423,1,"efd275",48,"2020-11-20T22:33:22.000Z"
287,65540,2,1605882795,1,"efd275",100,"2020-11-20T22:33:22.000Z"
288,65545,2,1605831076,0,"efd275",50,"2020-11-20T22:33:22.000Z"
289,65546,2,1605892658,0,"f1e0b5",50,"2020-11-20T22:33:22.000Z"
290,65547,2,1605892666,0,"f1e0b5",50,"2020-11-20T22:33:22.000Z"
291,65548,2,1605897874,1,"f5faf6",50,"2020-11-20T22:33:23.000Z"
292,65549,2,1605867176,1,"f1e0b5",50,"2020-11-20T22:33:23.000Z"
293,65551,2,1605867199,0,"f1e0b5",100,"2020-11-20T22:33:23.000Z"
294,65552,2,1605896361,1,"efd275",50,"2020-11-20T22:33:23.000Z"
295,65553,2,1605867180,1,"efd275",50,"2020-11-20T22:33:23.000Z"
296,65554,2,1603707195,1,"0",50,"2020-11-20T22:33:23.000Z"
297,65540,2,1605882795,0,"efd275",100,"2020-11-20T22:33:51.000Z"
298,65540,2,1605882795,1,"efd275",100,"2020-11-20T22:33:55.000Z"
299,65552,2,1605896361,0,"efd275",50,"2020-11-20T22:34:36.000Z"
300,65554,2,1603707195,0,"0",50,"2020-11-20T22:34:36.000Z"
301,65540,2,1605882795,0,"efd275",100,"2020-11-20T22:34:36.000Z"
302,65548,2,1605897874,0,"f5faf6",50,"2020-11-20T22:34:36.000Z"
303,65553,2,1605867180,0,"efd275",50,"2020-11-20T22:34:36.000Z"
304,65537,2,1605867202,0,"f1e0b5",51,"2020-11-20T22:56:02.000Z"
305,65538,2,1605868423,0,"f1e0b5",48,"2020-11-20T22:56:02.000Z"
306,65552,2,1605896361,0,"f1e0b5",50,"2020-11-20T22:56:02.000Z"
307,65553,2,1605867180,0,"f1e0b5",50,"2020-11-20T22:56:02.000Z"
308,65554,2,1603707195,0,"f1e0b5",50,"2020-11-20T22:56:02.000Z"
309,65540,2,1605882795,0,"f1e0b5",100,"2020-11-20T22:56:02.000Z"
310,65537,2,1605867202,1,"f1e0b5",51,"2020-11-20T22:56:06.000Z"
311,65538,2,1605868423,1,"f1e0b5",48,"2020-11-20T22:56:06.000Z"
312,65549,2,1605867176,1,"f1e0b5",50,"2020-11-20T22:56:06.000Z"
313,65538,2,1605868423,0,"f1e0b5",48,"2020-11-20T22:56:26.000Z"
314,65538,2,1605868423,0,"f1e0b5",48,"2020-11-20T22:56:29.000Z"
315,65547,2,1605917242,0,"f1e0b5",50,"2020-11-21T00:07:22.000Z"
316,65547,2,1605917242,0,"f1e0b5",50,"2020-11-21T00:07:32.000Z"
317,65546,2,1605917253,0,"f1e0b5",50,"2020-11-21T00:07:33.000Z"
318,65546,2,1605917253,0,"f1e0b5",50,"2020-11-21T00:07:43.000Z"
319,65545,2,1605917476,0,"efd275",50,"2020-11-21T00:11:17.000Z"
320,65547,2,1605917242,0,"f1e0b5",50,"2020-11-21T00:11:27.000Z"
321,65546,2,1605917253,0,"f1e0b5",50,"2020-11-21T00:11:27.000Z"
322,65546,2,1605917491,0,"f1e0b5",50,"2020-11-21T00:11:32.000Z"
323,65546,2,1605917491,0,"f1e0b5",50,"2020-11-21T00:11:36.000Z"
324,65546,2,1605917491,0,"f1e0b5",50,"2020-11-21T00:11:36.000Z"
325,65547,2,1605917242,0,"f1e0b5",50,"2020-11-21T00:11:36.000Z"
326,65545,2,1605917476,0,"efd275",50,"2020-11-21T00:11:36.000Z"
327,65546,2,1605917497,0,"f1e0b5",50,"2020-11-21T00:11:38.000Z"
328,65547,2,1605917242,1,"f1e0b5",50,"2020-11-21T00:11:41.000Z"
329,65546,2,1605917497,1,"f1e0b5",50,"2020-11-21T00:11:41.000Z"
330,65545,2,1605917476,1,"efd275",50,"2020-11-21T00:11:41.000Z"
331,65547,2,1605917501,1,"f1e0b5",50,"2020-11-21T00:11:42.000Z"
332,65547,2,1605917501,1,"f1e0b5",50,"2020-11-21T00:11:43.000Z"
333,65546,2,1605917497,0,"f1e0b5",50,"2020-11-21T00:11:45.000Z"
334,65545,2,1605917476,0,"efd275",50,"2020-11-21T00:11:45.000Z"
335,65547,2,1605917501,0,"f1e0b5",50,"2020-11-21T00:11:45.000Z"
336,65547,2,1605917505,0,"f1e0b5",50,"2020-11-21T00:11:45.000Z"
