instanceid,type,onoff,color,dimmer,weekday,weekofyear,year,month,day,time
65537,2,1,efd275,51,Friday,47,2020,11,20,22:00
65537,2,1,efd275,51,Friday,47,2020,11,20,22:15
65537,2,1,efd275,51,Friday,47,2020,11,20,22:30
65537,2,1,efd275,51,Friday,47,2020,11,20,22:45
65537,2,0,f1e0b5,51,Friday,47,2020,11,20,23:00
65537,2,0,f1e0b5,51,Friday,47,2020,11,20,23:15
65537,2,0,f1e0b5,51,Friday,47,2020,11,20,23:30
65537,2,0,f1e0b5,51,Friday,47,2020,11,20,23:45
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,00:00
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,00:15
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,00:30
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,00:45
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,01:00
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,01:15
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,01:30
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,01:45
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,02:00
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,02:15
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,02:30
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,02:45
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,03:00
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,03:15
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,03:30
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,03:45
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,04:00
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,04:15
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,04:30
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,04:45
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,05:00
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,05:15
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,05:30
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,05:45
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,06:00
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,06:15
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,06:30
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,06:45
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,07:00
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,07:15
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,07:30
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,07:45
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,08:00
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,08:15
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,08:30
65537,2,0,f1e0b5,51,Saturday,47,2020,11,21,08:45
